server,problem_type,date
server_0,problem_0,2020-01-01
server_1,problem_2,2020-01-01
server_2,success,2020-01-01
server_3,success,2020-01-01
server_4,problem_1,2020-01-01
server_0,success,2020-01-02
server_1,success,2020-01-02
server_2,success,2020-01-02
server_3,success,2020-01-02
server_4,problem_1,2020-01-02
server_0,problem_0,2020-01-03
server_1,success,2020-01-03
server_2,success,2020-01-03
server_3,success,2020-01-03
server_4,success,2020-01-03
server_0,problem_0,2020-01-04
server_1,success,2020-01-04
server_2,problem_0,2020-01-04
server_3,problem_2,2020-01-04
server_4,success,2020-01-04
server_0,problem_2,2020-01-05
server_1,success,2020-01-05
server_2,success,2020-01-05
server_3,success,2020-01-05
server_4,problem_0,2020-01-05
server_0,problem_1,2020-01-06
server_1,success,2020-01-06
server_2,success,2020-01-06
server_3,success,2020-01-06
server_4,success,2020-01-06
server_0,success,2020-01-07
server_1,success,2020-01-07
server_2,problem_1,2020-01-07
server_3,success,2020-01-07
server_4,problem_1,2020-01-07
server_0,problem_1,2020-01-08
server_1,problem_1,2020-01-08
server_2,problem_0,2020-01-08
server_3,problem_2,2020-01-08
server_4,success,2020-01-08
server_0,success,2020-01-09
server_1,success,2020-01-09
server_2,problem_1,2020-01-09
server_3,problem_2,2020-01-09
server_4,success,2020-01-09
server_0,success,2020-01-10
server_1,success,2020-01-10
server_2,problem_2,2020-01-10
server_3,problem_1,2020-01-10
server_4,success,2020-01-10
server_0,success,2020-01-11
server_1,success,2020-01-11
server_2,problem_0,2020-01-11
server_3,success,2020-01-11
server_4,success,2020-01-11
server_0,success,2020-01-12
server_1,problem_2,2020-01-12
server_2,problem_2,2020-01-12
server_3,success,2020-01-12
server_4,problem_1,2020-01-12
server_0,success,2020-01-13
server_1,problem_2,2020-01-13
server_2,problem_1,2020-01-13
server_3,success,2020-01-13
server_4,success,2020-01-13
server_0,success,2020-01-14
server_1,success,2020-01-14
server_2,success,2020-01-14
server_3,success,2020-01-14
server_4,success,2020-01-14
server_0,success,2020-01-15
server_1,problem_1,2020-01-15
server_2,success,2020-01-15
server_3,success,2020-01-15
server_4,success,2020-01-15
server_0,problem_1,2020-01-16
server_1,success,2020-01-16
server_2,problem_1,2020-01-16
server_3,success,2020-01-16
server_4,problem_1,2020-01-16
server_0,success,2020-01-17
server_1,success,2020-01-17
server_2,problem_1,2020-01-17
server_3,problem_0,2020-01-17
server_4,problem_0,2020-01-17
server_0,success,2020-01-18
server_1,problem_1,2020-01-18
server_2,success,2020-01-18
server_3,success,2020-01-18
server_4,success,2020-01-18
server_0,success,2020-01-19
server_1,success,2020-01-19
server_2,success,2020-01-19
server_3,problem_2,2020-01-19
server_4,problem_0,2020-01-19
server_0,success,2020-01-20
server_1,problem_1,2020-01-20
server_2,success,2020-01-20
server_3,success,2020-01-20
server_4,success,2020-01-20
server_0,problem_1,2020-01-21
server_1,success,2020-01-21
server_2,success,2020-01-21
server_3,problem_0,2020-01-21
server_4,problem_0,2020-01-21
server_0,problem_0,2020-01-22
server_1,success,2020-01-22
server_2,problem_0,2020-01-22
server_3,success,2020-01-22
server_4,problem_1,2020-01-22
server_0,success,2020-01-23
server_1,problem_1,2020-01-23
server_2,problem_0,2020-01-23
server_3,success,2020-01-23
server_4,problem_2,2020-01-23
server_0,success,2020-01-24
server_1,success,2020-01-24
server_2,problem_2,2020-01-24
server_3,problem_1,2020-01-24
server_4,problem_0,2020-01-24
server_0,problem_2,2020-01-25
server_1,success,2020-01-25
server_2,problem_1,2020-01-25
server_3,success,2020-01-25
server_4,success,2020-01-25
server_0,problem_1,2020-01-26
server_1,problem_2,2020-01-26
server_2,problem_2,2020-01-26
server_3,problem_1,2020-01-26
server_4,problem_0,2020-01-26
server_0,problem_1,2020-01-27
server_1,success,2020-01-27
server_2,problem_1,2020-01-27
server_3,success,2020-01-27
server_4,success,2020-01-27
server_0,problem_2,2020-01-28
server_1,success,2020-01-28
server_2,problem_1,2020-01-28
server_3,success,2020-01-28
server_4,success,2020-01-28
server_0,success,2020-01-29
server_1,success,2020-01-29
server_2,problem_1,2020-01-29
server_3,problem_2,2020-01-29
server_4,problem_0,2020-01-29
server_0,success,2020-01-30
server_1,success,2020-01-30
server_2,success,2020-01-30
server_3,problem_0,2020-01-30
server_4,problem_0,2020-01-30
